     atau     wage     TFP0     TFP1     DTFP       DM     DPhi       DF     Etau    Etau0    Etaul    Etauh     Expz        M       aY       aN       aL       aK       YN       aC     mTFP     nTFP    check     zphi
    0.000    0.256    0.495    0.495    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000   94.248    6.694   52.405   93.306  100.000  157.074   56.165   42.182   40.976   47.986    0.000    0.000
    1.000    0.409    0.495    0.496    0.215    1.686   -0.009   -1.461    0.000    0.000   -1.000    0.424   -1.583    4.932    0.053   -0.354    0.000    0.053    0.409    0.053    0.024    0.043    0.000    0.863
    2.000    0.778    0.495    0.497    0.411    3.375   -0.037   -2.927    0.000    0.000   -2.000    0.878   -3.142   10.107    0.047   -0.725    0.000    0.047    0.778    0.047    0.022    0.038    0.000    0.810
    3.000    1.146    0.495    0.498    0.606    5.209   -0.084   -4.520    0.001    0.001   -3.000    1.372   -4.803   16.002   -0.016   -1.148    0.000   -0.016    1.146   -0.016   -0.007   -0.013    0.000    0.755
    4.000    1.438    0.495    0.499    0.763    6.906   -0.149   -5.994    0.001    0.001   -4.000    1.904   -6.310   21.724   -0.144   -1.559    0.000   -0.144    1.438   -0.144   -0.065   -0.116    0.000    0.701
    5.000    1.691    0.495    0.500    0.901    8.606   -0.232   -7.473    0.000    0.000   -5.000    2.481   -7.795   27.727   -0.332   -1.989    0.000   -0.332    1.691   -0.332   -0.151   -0.268    0.000    0.648
    6.000    1.904    0.495    0.500    1.020   10.310   -0.334   -8.956    0.001    0.001   -6.000    3.104   -9.255   34.027   -0.583   -2.441    0.000   -0.583    1.904   -0.583   -0.266   -0.470    0.000    0.595
    7.000    2.118    0.495    0.501    1.139   12.160   -0.453  -10.568    0.004    0.004   -7.000    3.795  -10.812   41.202   -0.901   -2.956    0.000   -0.901    2.118   -0.901   -0.411   -0.726    0.002    0.540
    8.000    2.253    0.495    0.501    1.220   13.871   -0.589  -12.062    0.007    0.007   -8.000    4.556  -12.225   48.166   -1.280   -3.456    0.000   -1.280    2.253   -1.280   -0.585   -1.032    0.004    0.487
    9.000    2.359    0.495    0.502    1.283   15.585   -0.743  -13.560    0.005    0.005   -9.000    5.398  -13.616   55.474   -1.715   -3.980    0.000   -1.715    2.359   -1.715   -0.784   -1.383    0.003    0.434
   10.000    2.434    0.495    0.502    1.327   17.303   -0.912  -15.064    0.005    0.005  -10.000    6.322  -14.985   63.142   -2.223   -4.546   -0.015   -2.223    2.434   -2.223   -1.011   -1.782    0.003    0.382
   11.000    2.510    0.495    0.502    1.371   19.170   -1.096  -16.702    0.000    0.000  -11.000    7.238  -16.444   71.876   -2.776   -5.157    0.000   -2.776    2.510   -2.776   -1.273   -2.241    0.000    0.330
   12.000    2.501    0.495    0.502    1.379   20.895   -1.295  -18.222    0.007    0.007  -12.000    7.975  -17.768   80.353   -3.408   -5.765    0.000   -3.408    2.501   -3.408   -1.566   -2.753    0.004    0.278
   13.000    2.467    0.495    0.502    1.369   22.625   -1.506  -19.750    0.008    0.008  -13.000    8.717  -19.072   89.247   -4.094   -6.403    0.000   -4.094    2.467   -4.094   -1.885   -3.309    0.004    0.228
   14.000    2.447    0.495    0.502    1.360   24.505   -1.729  -21.417    0.004    0.004  -14.000    9.465  -20.461   99.379   -4.834   -7.108    0.021   -4.834    2.447   -4.834   -2.240   -3.926    0.002    0.177
   15.000    2.367    0.495    0.502    1.316   26.244   -1.961  -22.968    0.002    0.002  -15.000   10.252  -21.722  109.212   -5.654   -7.836    0.000   -5.654    2.367   -5.654   -2.614   -4.577    0.001    0.127
   16.000    2.239    0.495    0.501    1.256   27.988   -2.199  -24.533    0.008    0.008  -16.000   11.039  -22.963  119.530   -6.529   -8.576    0.000   -6.529    2.239   -6.529   -3.027   -5.290    0.004    0.078
   17.000    2.114    0.495    0.501    1.197   29.886   -2.441  -26.249    0.010    0.010  -17.000   11.829  -24.285  131.283   -7.442   -9.358    0.057   -7.442    2.114   -7.442   -3.484   -6.078    0.005    0.029
